Title,Description,Type,Epic,Sprint,AcceptanceCriteria
Signup (Email/Password),Create account form with username/email/password and session cookie,Story,Auth,2,"Given valid inputs When submit Then session set and onboarding loads"
Login (Email/Password),Login form with session cookie,Story,Auth,2,"Given valid credentials When submit Then home loads with no error"
Onboarding Info,Form for age/gender/baseline HR and daily stress rating,Story,Onboarding,2,"Given values When save Then profile updates and home loads"
Dashboard Layout,Header + Pet + Trend + Coach + Readings cards,Task,UI,3,"Given dashboard When render Then all cards visible without layout overflow"
Add Test Reading,Button to simulate a reading and POST to backend,Story,Readings,3,"Given click When POST Then new reading appears in list and chart"
Trend Bars (BPM),Render last 20 BPM as bars with hover tooltips,Story,Trends,3,"Given ≥20 readings When open Then 20 bars render with correct values"
HRV Sparkline,Render HRV mini-chart in Trends screen,Story,Trends,4,"Given HRV data When open Then sparkline matches raw values ±1"
Breathing Coach,Overlay with 60s guidance and completion,Story,Coach,3,"Given start When timer completes Then streak increments and overlay closes"
Calm Streak,Increment streak after breathing completion,Task,Gamification,3,"Given completion When recorded Then streak shows increased count"
Theme Toggle,Dark/light theme persistence,Task,UI,4,"Given toggle When switch Then theme persists across pages"
Export CSV,Generate CSV from readings,Story,Export,5,"Given readings When export Then CSV downloads with headers ts,bpm,hrv"
Error Handling,Inline errors for auth and API failures,Task,Quality,2,"Given failure When occurs Then inline error shows and no crash"
CORS/Cookies Config,Configure SameSite Lax and allowed origins,Task,Infra,2,"Given frontend origin When request Then response readable and session maintained"